Date,Description,Amount,Currency,Category
01/08/25,Salary Credit,75000,INR,Income
02/08/25,Zomato Order,560,INR,Food
03/08/25,Uber Ride to Airport,420,INR,Transport
04/08/25,Amazon Purchase,2999,INR,Shopping
05/08/25,Rent Payment,20000,INR,Rent
06/08/25,Airtel Broadband,999,INR,Utilites
07/08/25,Apollo Pharmacy-Medicines,740,INR,Health
08/08/25,BookMyShow- Movie Tickets,650,INR,Entertainment
09/08/25,Mutual Fund SIP,5000,INR,Investments
10/08/25,ICICI Credit Card Bill,2500,INR,EMI/Loans
11/08/25,Starbucks coffee,380,INR,Food
12/08/25,Electricity Bill,1230,INR,Utilites
13/08/25,Flipkart Shopping,1899,INR,Shopping
14/08/25,Uber Ride to Work,290,INR,Transport
15/08/25,Interest Credit Savings A/c,350,INR,Income
16/08/25,D-Mart Grocery Shopping,1850,INR,Groceries
17/08/25,Spotify monthly Subscription,119,INR,Entertainment
18/08/25,HDFC Home Loan EMI,18000,INR,EMI/Loans
19/08/25,PhonePe Transaction FEE,25,INR,Fees
20/08/25,Medical Insurance Premium,2000,INR,Health
21/08/25,Cash Withdrawal ATM,3000,INR,Others
22/08/25,Tax Deducted at Source,450,INR,Fees
23/08/25,Ola Cab,350,INR,Transport
24/08/25,Myntra Purchase,850,INR,Shopping
25/08/25,Netflix monthly,499,INR,Entertainment
26/08/25,Electricity Bill,950,INR,Utilites
27/08/25,Amazon Pantry,980,INR,Groceries
28/08/25,Doctor Consultation,700,INR,Health
29/08/25,Interest Credit FD,1200,INR,Income
30/08/25,Mutual Fund SIP,4000,INR,Investments
31/08/25,Swiggy Order,620,INR,Food
